,Base,C1'-C2',C1'-C2'-C3',C1'-C2'-O2',C1'-N1-C2/C1'-N9-C4,C1'-N1-C6/C1'-N9-C8,C1'-N1/C1'-N9,C1'-O4',C1'-O4'-C4',C2'-C1'-O4',C2'-C3',C2'-C3'-C4',C2'-C3'-O3',C2'-O2',C2-N1-C6/C4-N9-C8,C3'-C2'-O2',C3'-C4',C3'-C4'-C5',C3'-C4'-O4',C3'-O3',C4'-C3'-O3',C4'-C5',C4'-C5'-O5',C4'-O4',C5'-C4'-O4',C5'-O5',Chi,Chi_sign,Chi_syn,Conformation,Gamma,Gamma_clinical,Gamma_sign,Gamma_syn,N1-C1'-C2'/N9-C1'-C2',N1-C1'-O4'/N9-C1'-O4',N1-C2/N9-C4,N1-C6/N9-C8,Sugar,T1233,T1445,T144_N,T221_N,T2233,T2345,T321_N,T3345,T3455,T4122,T4322,T4433,T4455,TAU_0,TAU_1,TAU_2,TAU_3,TAU_4,TCHI,T_max,Temperature,Theta,absChi,absChiDiff90,absGamma,absGammaDiff90
ASADED_0,purine,1.52055,101.179,,129.43,124.819,1.44866,1.41992,108.669,106.024,1.51753,103.787,110.495,,105.312,,1.53247,116.211,106.229,1.43368,107.808,1.50828,113.264,1.45798,106.584,1.4163,syn,+,syn,C2'-endo,gauche+,C,+,S,115.473,108.438,1.39074,1.3771,deoxyribose,82.1179,129.422,-151.384,,,-99.6524,157.548,143.124,55.7218,,,-98.5411,-62.419,-26.8124,37.4607,-33.2166,18.683,4.90456,73.2896,37.93061085391042,198.0,154.24668495435083,73.2896,16.710400000000007,55.7218,34.2782
BAGVEK_1,purine,1.51247,103.689,,127.539,125.45,1.45335,1.41698,107.887,105.386,1.53528,103.833,113.741,,106.975,,1.53432,114.27,107.234,1.41245,107.599,1.49303,112.029,1.4382,108.112,1.42405,syn,+,syn,Other,trans,P,-,A,116.022,106.334,1.38245,1.37842,deoxyribose,98.4132,146.526,-158.7,,,-121.495,149.964,117.634,-173.306,,,-122.57,67.392,-35.0025,32.6457,-18.2323,-1.70027,22.8668,53.4063,35.48403610315133,223.0,122.0065732936809,53.4063,36.5937,173.306,83.30600000000001
CEZMEZ_6,purine,1.52724,105.87,,125.101,128.863,1.44864,1.43244,107.494,105.518,1.52684,103.434,111.914,,106.028,,1.53595,114.945,104.725,1.42989,111.314,1.51332,107.811,1.43419,106.364,1.42173,anti,-,anti,Other,gauche-,C,-,S,115.103,107.626,1.36635,1.37224,deoxyribose,128.342,159.618,-155.242,,,-143.642,131.784,96.0217,-71.3444,,,-147.649,173.267,-31.8605,13.2855,8.41538,-27.3129,37.5007,-117.934,36.947288879022715,295.0,76.53586812308217,117.934,27.933999999999997,71.3444,18.655600000000007
DEFPOT_8,purine,1.51487,103.234,,127.407,126.155,1.45769,1.43526,109.179,104.795,1.52095,103.019,109.008,,105.096,,1.53956,113.878,107.503,1.42285,111.577,1.50766,111.01,1.43119,108.816,1.4262,anti,-,anti,C2'-endo,trans,P,-,A,114.698,107.001,1.38035,1.38114,deoxyribose,89.6553,133.182,-150.421,,,-107.647,152.533,135.55,-170.667,,,-103.823,69.4447,-28.2355,35.5114,-28.956,12.9794,9.41205,-97.5776,35.5126768208601,295.0,146.46359858608002,97.5776,7.577600000000004,170.667,80.667
DEHREN_9,purine,1.5345,102.981,,126.25,126.758,1.46376,1.41303,110.578,107.467,1.52331,102.858,114.245,,106.306,,1.52677,116.121,104.628,1.41929,109.049,1.49655,110.542,1.4459,109.641,1.42154,anti,-,anti,C3'-endo,gauche+,C,+,S,114.402,107.707,1.39093,1.37041,deoxyribose,149.364,147.059,-125.284,,,-153.944,100.252,84.4272,46.8008,,,-154.582,-71.4715,-1.56542,-19.2774,31.3329,-32.9529,21.8691,-116.559,34.170487680271485,295.0,20.79308735263039,116.559,26.558999999999997,46.8008,43.1992
DEHREN01_10,purine,1.51847,102.184,,125.427,128.882,1.44071,1.42718,110.566,105.869,1.51249,102.54,111.315,,105.128,,1.52244,114.492,105.227,1.43131,107.01,1.50299,108.978,1.43644,109.887,1.42153,anti,-,anti,C2'-endo,trans,P,+,A,116.659,108.608,1.38236,1.37388,deoxyribose,77.7303,112.103,-137.845,,,-90.5633,151.24,152.214,177.934,,,-87.0289,59.7888,-11.8362,30.3147,-36.3783,30.1938,-11.633,-90.7074,37.033385500756445,295.0,179.83642519637743,90.7074,0.7074000000000069,177.934,87.934
DINYII10_11,purine,1.51282,99.7973,,124.529,129.529,1.449,1.40436,110.292,109.196,1.515,105.376,111.889,,105.601,,1.51509,115.181,104.075,1.42635,108.853,1.49112,109.025,1.43458,110.737,1.43447,syn,-,syn,C2'-endo,gauche+,C,+,S,114.619,108.29,1.37231,1.38375,deoxyribose,85.2113,111.533,-134.143,,,-92.122,147.628,147.715,55.3773,,,-90.869,-62.3558,-8.71721,25.9553,-32.9302,29.2944,-12.7977,-78.7063,33.79158340529826,295.0,183.96634389054628,78.7063,11.293700000000001,55.3773,34.6227
DTGUOS_15,purine,1.50184,101.778,,127.939,126.146,1.45808,1.40127,108.554,105.326,1.51618,102.569,112.836,,105.784,,1.52073,114.241,107.017,1.41302,107.688,1.51032,111.049,1.43906,108.493,1.42288,anti,-,anti,C2'-endo,trans,P,-,A,114.718,108.133,1.36476,1.37412,deoxyribose,83.1755,131.89,-152.75,,,-104.013,157.619,136.748,-174.404,,,-103.146,66.3188,-29.6581,38.841,-32.3967,16.0928,8.17148,-116.668,38.789787544091304,295.0,149.41022434178976,116.668,26.668000000000006,174.404,84.404
EBOYAY_16,purine,1.52167,100.528,,124.894,128.402,1.45575,1.42387,108.065,104.94,1.52673,103.734,105.999,,106.701,,1.52892,116.856,106.552,1.42739,111.596,1.50185,110.91,1.44969,107.797,1.43412,anti,-,anti,C2'-endo,gauche+,C,+,S,116.299,106.887,1.38563,1.39776,deoxyribose,84.8289,136.875,-156.579,,,-105.489,158.309,140.814,52.5529,,,-98.6621,-67.3094,-32.5084,40.4539,-32.8324,15.0351,10.6926,-127.102,40.543253988036,173.0,146.44298114873644,127.102,37.102000000000004,52.5529,37.4471
EHEDOK_17,purine,1.51654,100.869,,126.347,126.859,1.44638,1.42868,108.167,104.67,1.5253,102.47,112.63,,106.162,,1.53786,112.69,106.903,1.42718,108.56,1.5203,111.307,1.44141,107.83,1.42242,syn,-,syn,C2'-endo,gauche-,C,-,S,114.645,108.998,1.38978,1.36135,deoxyribose,81.4472,129.368,-154.196,,,-100.374,160.596,140.288,-62.9782,,,-101.423,179.278,-31.1023,41.2337,-35.0,17.9148,7.95159,-64.7305,41.35062910367654,100.0,150.53571690086133,64.7305,25.269499999999994,62.9782,27.0218
FIKHAI_18,purine,1.51221,103.749,,125.234,128.287,1.45099,1.41896,110.43,105.879,1.51144,103.64,107.811,,105.873,,1.53491,114.736,106.596,1.44875,111.359,1.51448,110.0,1.43953,106.311,1.4372,syn,-,syn,C2'-endo,gauche-,C,-,S,114.806,108.461,1.37231,1.37913,deoxyribose,89.7805,125.841,-145.089,,,-100.984,150.651,143.367,-74.7177,,,-99.2468,167.734,-21.3914,31.0372,-28.3579,16.4024,3.01028,-85.7509,31.638272856520047,295.0,156.2864217063665,85.7509,4.2490999999999985,74.7177,15.282300000000006
FOYLUA_20,purine,1.52018,102.0,,126.032,127.134,1.47562,1.40514,110.346,106.69,1.51829,103.617,106.947,,106.674,,1.52979,114.017,105.99,1.44434,111.063,1.51683,109.585,1.44625,110.056,1.42334,anti,-,anti,C2'-endo,gauche+,C,+,S,112.956,106.375,1.37272,1.37004,deoxyribose,85.6237,122.567,-140.571,,,-99.8895,148.77,145.611,48.2396,,,-93.1758,-70.6883,-19.7407,32.2429,-31.7885,21.324,-1.16671,-165.782,34.026399902625954,295.0,163.5541998905276,165.782,75.78200000000001,48.2396,41.7604
FUXKAL_21,purine,1.51378,102.082,,126.637,127.409,1.45993,1.43322,109.724,106.264,1.52784,102.639,110.901,,105.95,,1.53395,114.79,106.205,1.40993,109.825,1.50885,113.073,1.44756,109.479,1.42,syn,+,syn,C2'-endo,gauche+,C,+,S,115.079,107.524,1.38748,1.38786,deoxyribose,82.3628,119.998,-142.112,,,-96.1324,152.267,145.866,44.2049,,,-93.0217,-75.0973,-18.3907,33.3957,-34.8756,24.9802,-4.46936,58.0497,36.40104194010384,110.0,168.472058308363,58.0497,31.9503,44.2049,45.7951
FUXKAL_22,purine,1.5183,101.077,,126.933,127.22,1.45767,1.419,108.706,106.015,1.51557,103.51,110.984,,105.635,,1.50876,115.154,106.607,1.43316,109.368,1.51792,113.375,1.45375,107.766,1.43478,syn,+,syn,C2'-endo,gauche+,C,+,S,114.444,108.307,1.37502,1.38805,deoxyribose,82.3468,124.505,-146.491,,,-97.0383,155.524,144.612,50.9788,,,-95.9275,-67.8387,-23.2314,36.2202,-34.8758,22.422,0.357695,52.7047,37.784601199401,110.0,161.13383807585038,52.7047,37.2953,50.9788,39.0212
FUXKAL_23,purine,1.50633,101.791,,126.035,126.962,1.46665,1.43288,109.251,105.537,1.52641,101.875,108.256,,106.105,,1.53468,115.599,106.474,1.42151,110.958,1.52762,112.972,1.44241,108.534,1.4204,syn,+,syn,C2'-endo,gauche+,C,+,S,115.994,107.455,1.38163,1.38737,deoxyribose,80.4183,123.328,-146.677,,,-96.2333,155.781,148.722,47.1544,,,-90.6653,-72.3354,-22.3244,36.9682,-36.5977,24.3797,-1.7265,51.6317,38.98893471659894,110.0,163.92533082087286,51.6317,38.3683,47.1544,42.8456
FUXKEP_25,purine,1.52685,101.017,,125.643,127.253,1.4612,1.42673,109.836,105.992,1.53103,103.319,110.938,,106.015,,1.53071,114.77,105.994,1.43413,107.236,1.51665,113.088,1.45014,109.383,1.42047,syn,+,syn,C2'-endo,gauche+,C,+,S,114.748,107.682,1.37888,1.3937,deoxyribose,79.566,122.867,-144.934,,,-97.2808,153.96,145.464,48.0803,,,-93.7054,-70.8694,-21.6746,35.2729,-35.0549,23.5497,-1.38843,45.7282,37.40438653063302,110.0,163.73919044477907,45.7282,44.2718,48.0803,41.9197
GUZPOH_27,purine,1.53907,103.8,,130.262,124.084,1.45474,1.42514,105.725,106.843,1.53867,103.29,112.559,,105.586,,1.52755,115.98,104.165,1.42497,110.107,1.5055,111.915,1.43745,109.907,1.42256,syn,+,syn,Other,gauche+,C,+,S,115.279,108.235,1.37867,1.37846,deoxyribose,131.724,166.488,-157.852,,,-153.914,131.632,85.6709,53.8445,,,-153.422,-63.9302,-33.1365,11.3324,12.997,-33.0076,41.6044,78.9059,41.058147027340006,123.0,71.15857233822935,78.9059,11.094099999999997,53.8445,36.1555
IFOSAY_28,purine,1.5253,101.057,,131.454,121.89,1.45843,1.42969,109.433,106.45,1.52538,101.885,106.363,,105.978,,1.52855,114.003,105.406,1.42364,111.068,1.51289,110.08,1.45275,109.893,1.43246,syn,+,syn,C2'-endo,trans,P,+,A,115.919,108.819,1.38406,1.37437,deoxyribose,77.6046,111.724,-139.428,,,-88.7304,154.37,158.341,178.048,,,-81.0579,59.9885,-13.8274,33.2078,-38.7969,31.871,-11.5357,72.9107,39.731462307928666,100.0,178.2892780916974,72.9107,17.089299999999994,178.048,88.048
IKOMAY_29,purine,1.5156,102.127,,128.975,124.522,1.4591,1.42481,109.689,106.385,1.51977,102.017,111.7,,106.282,,1.52442,114.612,105.736,1.42678,109.098,1.52493,111.495,1.45037,108.84,1.41629,syn,+,syn,C2'-endo,gauche-,C,-,S,115.46,108.614,1.37706,1.3763,deoxyribose,79.6277,113.158,-138.407,,,-90.1627,152.348,151.559,-76.0395,,,-88.5665,165.829,-13.5283,31.7856,-36.779,29.7117,-10.4372,70.8847,37.611649161827756,100.0,177.46503524693975,70.8847,19.115300000000005,76.0395,13.960499999999996
IKOMAY_30,purine,1.51288,101.913,,129.944,123.403,1.45198,1.40955,109.125,105.901,1.52494,102.901,111.633,,106.502,,1.5436,114.266,107.019,1.42957,107.782,1.50316,111.938,1.43152,107.122,1.40496,syn,+,syn,C2'-endo,gauche+,C,+,S,116.04,107.853,1.3823,1.37246,deoxyribose,85.3231,131.763,-153.755,,,-104.091,156.392,137.833,49.4414,,,-103.761,-68.9056,-28.9139,36.7899,-30.01,14.3144,8.80512,61.7304,36.71737311159497,100.0,147.6751472841354,61.7304,28.269599999999997,49.4414,40.5586
JAFHIH_31,purine,1.51421,103.457,,125.939,127.566,1.46078,1.40785,111.31,106.053,1.50956,103.531,108.042,,106.493,,1.52366,111.249,106.166,1.43801,111.13,1.50566,106.656,1.43199,109.225,1.43739,anti,-,anti,C2'-endo,trans,P,+,A,113.912,107.901,1.37311,1.37268,deoxyribose,88.1406,116.923,-138.594,,,-97.7594,147.267,146.486,165.682,,,-94.7919,48.8109,-16.1692,28.7464,-29.7862,20.9632,-3.12503,-130.273,31.135636034052222,295.0,167.39960655920257,130.273,40.272999999999996,165.682,75.68199999999999
JAFHIH_32,purine,1.51545,102.561,,125.623,127.608,1.45825,1.41468,109.805,105.84,1.50995,102.78,106.155,,106.405,,1.52523,115.058,106.575,1.44721,112.124,1.50665,108.416,1.44219,109.583,1.44904,anti,-,anti,C2'-endo,gauche+,C,+,S,113.417,107.005,1.37581,1.36975,deoxyribose,84.5368,123.729,-141.586,,,-99.3902,150.751,147.02,57.7913,,,-91.2989,-62.2464,-20.3372,33.7404,-33.3519,22.2914,-1.36516,-159.409,35.56398312645424,295.0,163.82150787644738,159.409,69.40899999999999,57.7913,32.2087
KEBWOF_33,purine,1.51878,100.86,,126.495,127.757,1.45462,1.4228,109.335,105.363,1.51122,103.599,105.418,,105.747,,1.52087,115.424,105.763,1.44684,110.625,1.48999,108.589,1.44817,109.751,1.4479,anti,-,anti,C2'-endo,gauche+,C,+,S,114.704,107.777,1.36837,1.37174,deoxyribose,80.2782,126.061,-147.273,,,-98.7521,155.817,148.709,53.1679,,,-89.7594,-66.1902,-24.3679,37.4627,-35.9948,22.7791,0.938872,-120.5,39.04451356542816,295.0,160.4279642751041,120.5,30.5,53.1679,36.8321
KEBWUL_34,purine,1.50909,102.506,,126.129,126.742,1.44909,1.41395,109.919,106.114,1.50018,104.153,107.955,,105.165,,1.52013,115.434,106.105,1.44693,108.587,1.5059,108.774,1.43975,109.587,1.44504,syn,-,syn,C2'-endo,gauche+,C,+,S,115.875,106.877,1.36026,1.37953,deoxyribose,84.17,126.422,-145.576,,,-102.172,151.103,142.98,46.1227,,,-95.44,-73.5636,-21.3579,32.6802,-31.1241,19.4085,1.16839,-89.6277,33.88194039759449,293.0,159.8171154274923,89.6277,0.37229999999999563,46.1227,43.8773
KECLOT_35,purine,1.51102,101.65,,128.39,125.573,1.46117,1.40399,109.103,106.276,1.50569,104.028,110.788,,106.028,,1.51929,114.473,105.746,1.42498,107.021,1.51087,113.505,1.46178,108.232,1.41225,syn,+,syn,C2'-endo,gauche+,C,+,S,114.898,108.34,1.35841,1.3845,deoxyribose,81.7067,126.082,-148.536,,,-99.4598,155.731,143.214,53.6142,,,-97.7417,-64.0221,-24.5611,35.9365,-32.9748,19.5846,2.98571,55.0725,36.73180529121094,295.0,157.0478933827373,55.0725,34.9275,53.6142,36.3858
KOKPOP_37,purine,1.50374,102.085,,125.208,127.56,1.46177,1.40588,109.615,105.899,1.51112,101.324,107.197,,107.092,,1.52403,113.695,105.702,1.41859,111.97,1.51896,111.449,1.44982,108.066,1.41506,anti,-,anti,C2'-endo,gauche-,C,-,S,114.447,108.069,1.37407,1.37848,deoxyribose,79.5123,115.289,-141.059,,,-90.1781,154.407,155.872,-72.7911,,,-85.7578,170.206,-17.9963,35.4767,-37.9644,28.1919,-6.77012,-145.106,39.30870988615841,295.0,171.24457612303868,145.106,55.105999999999995,72.7911,17.2089
KOKPOP_38,purine,1.51605,101.982,,125.063,128.848,1.45653,1.41582,107.574,104.206,1.51989,103.625,112.441,,106.033,,1.53882,115.608,106.633,1.41792,107.43,1.50265,110.888,1.43685,106.863,1.43641,syn,-,syn,Other,trans,P,-,A,114.122,108.135,1.38385,1.37342,deoxyribose,89.0778,144.082,-159.316,,,-113.081,157.33,127.724,-177.995,,,-113.663,63.519,-37.5453,39.6095,-26.617,5.53281,19.8949,-81.3403,40.55376695133325,295.0,132.57504847622445,81.3403,8.6597,177.995,87.995
MOFBUE_39,purine,1.53041,101.978,,125.408,130.249,1.4439,1.42325,109.797,104.821,1.49094,103.937,107.047,,104.315,,1.52481,113.344,105.723,1.42443,111.378,1.52403,108.636,1.44895,108.455,1.4135,anti,-,anti,C2'-endo,gauche+,C,+,S,113.755,107.414,1.37575,1.36537,deoxyribose,83.2779,122.606,-144.082,,,-96.5615,152.837,148.508,52.9502,,,-92.8272,-64.1259,-22.77,35.7923,-34.6877,22.1035,0.741252,-157.603,37.36820931115156,293.0,161.00528198127515,157.603,67.60300000000001,52.9502,37.0498
NALCUB_41,purine,1.53148,102.155,,130.741,124.208,1.44879,1.42511,111.319,105.874,1.51286,103.163,106.17,,104.931,,1.52865,114.688,104.201,1.45293,107.963,1.51143,104.858,1.44544,110.251,1.43802,syn,+,syn,C2'-endo,trans,P,-,A,114.473,109.468,1.37294,1.38546,deoxyribose,77.4382,109.531,-132.808,,,-89.2784,148.885,158.606,-170.608,,,-80.7775,72.1732,-8.93674,28.213,-35.9882,31.338,-14.0146,71.3865,36.6005892975246,173.0,184.1778731783276,71.3865,18.613500000000002,170.608,80.608
PITVUK_45,purine,1.50869,100.825,,125.353,128.107,1.44913,1.41551,108.432,104.706,1.52112,102.796,112.671,,105.913,,1.52976,114.288,106.618,1.41753,108.597,1.50849,111.253,1.43534,107.863,1.41278,syn,-,syn,C2'-endo,gauche-,C,-,S,116.023,108.462,1.38116,1.35233,deoxyribose,82.7199,132.554,-156.414,,,-102.619,160.474,137.813,-63.1,,,-103.117,178.536,-31.955,40.9716,-33.9782,16.4501,9.38144,-63.6618,41.040230693203526,298.0,148.42267584345183,63.6618,26.3382,63.1,26.9
PITVUK01_46,purine,1.51897,100.065,,125.154,127.757,1.44402,1.42293,108.545,104.903,1.53241,102.923,112.318,,106.315,,1.5341,113.58,106.453,1.42226,108.409,1.51508,110.635,1.44067,107.717,1.41922,syn,-,syn,C2'-endo,gauche-,C,-,S,115.476,108.223,1.38405,1.36023,deoxyribose,81.129,129.854,-155.048,,,-99.9892,160.261,140.867,-63.6735,,,-100.766,178.689,-31.2532,41.2315,-35.2585,18.3783,7.69829,-62.8139,41.54204012137469,100.0,150.9192980940445,62.8139,27.186100000000003,63.6735,26.326500000000003
PITWEV_47,purine,1.52648,104.921,,124.908,129.9,1.44979,1.43103,110.935,106.739,1.52508,102.819,112.571,,104.945,,1.53119,115.718,106.362,1.42848,108.288,1.50881,113.335,1.44118,108.446,1.43366,syn,-,syn,C3'-endo,gauche+,C,+,S,114.147,108.46,1.39188,1.36615,deoxyribose,143.882,141.203,-121.615,,,-147.466,100.856,93.2086,56.9233,,,-146.297,-62.4356,1.80438,-18.9593,27.5803,-26.9719,16.125,-82.7961,29.05231733036427,150.0,14.61745352509924,82.7961,7.203900000000004,56.9233,33.0767
PITWEV_48,purine,1.53361,105.518,,125.765,126.489,1.46443,1.43227,109.784,106.85,1.5095,104.512,108.778,,105.914,,1.52822,115.746,104.744,1.44053,111.594,1.50788,114.091,1.44448,107.808,1.41717,anti,-,anti,Other,gauche+,C,+,S,115.196,106.287,1.38097,1.37102,deoxyribose,138.214,152.165,-139.866,,,-147.241,115.298,95.3677,50.8065,,,-146.077,-66.0452,-16.3687,-2.49844,18.904,-28.6855,28.3638,-90.1304,30.05353905408134,150.0,50.45252343308279,90.1304,0.13039999999999452,50.8065,39.1935
PITWIZ_49,purine,1.49564,100.477,,128.989,124.403,1.4739,1.41923,108.815,107.681,1.52347,104.114,110.414,,105.997,,1.51101,115.683,105.203,1.42052,107.48,1.50594,113.716,1.46191,109.21,1.42761,syn,+,syn,C2'-endo,gauche+,C,+,S,115.285,105.609,1.37596,1.36049,deoxyribose,79.4539,120.653,-143.18,,,-95.2357,151.794,147.619,44.2382,,,-91.7819,-74.1673,-19.5029,34.2192,-35.6371,25.3637,-4.11622,53.7459,37.30943786532318,298.0,167.7197251800893,53.7459,36.2541,44.2382,45.7618
PITWOF_50,purine,1.5198,103.326,,129.729,123.937,1.45068,1.4458,110.742,105.69,1.52566,102.964,112.122,,105.976,,1.54338,114.553,105.841,1.42384,106.63,1.50404,115.802,1.44705,110.136,1.42495,syn,+,syn,C2'-endo,gauche+,C,+,S,116.163,106.777,1.38029,1.37693,deoxyribose,81.0167,118.267,-139.582,,,-96.8535,148.561,144.978,44.7547,,,-93.4858,-74.3984,-15.316,30.3943,-33.2258,24.6826,-6.07205,57.3298,34.1052678069364,150.0,171.8082984877756,57.3298,32.6702,44.7547,45.2453
RIQMEK_51,purine,1.53965,103.799,,126.843,127.543,1.47603,1.40474,109.792,106.304,1.50257,101.145,111.803,,105.597,,1.51665,117.45,104.713,1.41714,109.059,1.50052,111.095,1.45195,109.393,1.40503,anti,-,anti,C3'-endo,trans,P,-,A,112.869,106.978,1.36416,1.36654,deoxyribose,-81.3914,151.65,-123.39,,,-158.211,96.0468,-40.2698,-172.429,,,81.2811,68.4754,-2.54822,-20.9262,34.5385,-36.6603,24.9448,-162.861,37.958470059001264,298.0,21.90037340293531,162.861,72.86099999999999,172.429,82.429
RITNAK_52,purine,1.52191,103.129,,123.954,130.641,1.45494,1.43532,110.191,106.796,1.52018,102.136,110.081,,105.404,,1.53595,112.744,104.206,1.41415,113.569,1.51507,112.894,1.4489,110.252,1.41952,anti,-,anti,C2'-endo,trans,P,-,A,114.29,110.332,1.37678,1.37845,deoxyribose,-155.91,100.092,-126.036,,,-84.8456,145.614,33.642,-176.888,,,153.2,67.1162,-1.28016,23.3103,-34.9742,34.712,-21.1387,-94.7624,36.98182981630317,273.0,196.06732403399803,94.7624,4.7623999999999995,176.888,86.888
SDGUNP_54,purine,1.52351,104.634,,127.448,126.313,1.46928,1.42824,106.132,105.962,1.54182,103.425,113.687,,106.189,,1.55496,112.293,103.948,1.41349,110.591,1.51243,109.28,1.4379,109.229,1.43589,anti,-,anti,Other,trans,P,+,A,115.297,106.324,1.37317,1.38802,deoxyribose,124.417,160.37,-161.056,,,-144.492,136.688,93.4425,176.947,,,-148.615,62.1808,-37.9019,19.3959,4.44622,-26.5499,40.3308,-123.3,40.801262376810655,295.0,83.81795356923959,123.3,33.3,176.947,86.947
TELXOA_57,purine,1.53251,103.868,,128.068,126.289,1.45598,1.43299,109.143,105.97,1.51358,101.746,114.159,,105.639,,1.51644,114.14,103.078,1.42058,111.675,1.49738,109.725,1.43836,109.691,1.41645,syn,+,syn,Other,trans,P,-,A,115.51,107.48,1.37946,1.39851,deoxyribose,152.652,155.521,-136.883,,,-159.103,105.779,78.7246,-171.391,,,-162.382,73.5375,-12.8433,-13.0855,32.2071,-40.2098,33.5777,86.3246,40.577956861250016,293.0,36.32491401765743,86.3246,3.6753999999999962,171.391,81.39099999999999
UYOCAO_58,purine,1.52547,105.016,,126.673,127.052,1.46032,1.42658,110.706,107.558,1.51748,104.304,109.567,,106.134,,1.5376,114.435,106.491,1.42649,111.372,1.50921,109.496,1.46151,110.747,1.42919,syn,+,syn,C2'-endo,trans,P,-,A,112.878,109.467,1.38369,1.38579,deoxyribose,95.0151,116.996,-130.623,,,-102.495,141.139,139.411,-171.651,,,-97.8865,67.9839,-7.64313,20.2807,-24.3091,20.2074,-7.99486,66.9311,24.75910068246975,150.0,180.26976418381938,66.9311,23.0689,171.651,81.65100000000001
XIZGIW_60,purine,1.50883,100.601,,125.042,128.1,1.45739,1.41683,108.312,107.311,1.51805,101.068,108.954,,106.832,,1.52548,114.071,106.025,1.42527,108.051,1.50458,109.74,1.44346,107.733,1.41255,anti,-,anti,C2'-endo,gauche-,C,-,S,114.189,108.886,1.35651,1.39341,deoxyribose,74.1414,111.372,-139.188,,,-86.1349,155.633,159.544,-62.1067,,,-82.0713,-179.512,-15.1154,34.8566,-39.5004,32.2499,-11.1341,-163.094,40.81637780121493,100.0,177.01225135787791,163.094,73.094,62.1067,27.893300000000004
XIZGOC_61,purine,1.52404,104.053,,125.719,127.744,1.45279,1.41532,105.137,106.593,1.5461,102.566,111.778,,106.527,,1.52457,117.013,104.012,1.41292,111.253,1.50798,111.824,1.43836,110.322,1.41374,anti,-,anti,Other,gauche+,C,+,S,114.455,106.785,1.37647,1.38064,deoxyribose,130.367,169.669,-158.874,,,-154.556,132.208,85.8041,40.8512,,,-152.257,-77.7452,-36.1173,14.3974,11.0934,-32.6171,43.3967,-167.686,42.80299694662191,100.0,74.78518576483616,167.686,77.686,40.8512,49.1488
XIZGOC_62,purine,1.51335,102.293,,124.978,128.23,1.47712,1.43197,108.654,106.373,1.51254,100.49,115.36,,106.613,,1.50476,115.725,104.043,1.41555,110.021,1.51508,112.597,1.43377,110.88,1.41714,syn,-,syn,C3'-endo,trans,P,-,A,113.079,106.952,1.37975,1.37908,deoxyribose,157.188,152.574,-123.268,,,-163.098,93.385,74.8244,-153.012,,,-163.284,88.8194,-2.15789,-23.7142,38.9547,-41.2061,27.5243,-55.9086,42.60808533323731,100.0,21.19457390278201,55.9086,34.0914,153.012,63.012
XUQJID_63,purine,1.53757,103.256,,127.28,127.19,1.45561,1.43682,107.78,106.027,1.53324,99.7648,114.402,,105.503,,1.52405,116.014,102.552,1.41799,112.019,1.49945,113.44,1.43638,109.756,1.43112,anti,+,anti,Other,trans,P,-,A,115.374,108.03,1.37991,1.39843,deoxyribose,154.21,163.026,-140.612,,,-164.629,106.873,73.919,-174.512,,,-166.477,69.879,-16.3919,-12.642,34.4859,-45.025,39.1496,91.9007,45.497746641053226,110.0,39.178931434798095,91.9007,1.9007000000000005,174.512,84.512
XUQJID_64,purine,1.53104,102.056,,129.139,124.714,1.46346,1.44269,109.434,107.035,1.52989,102.466,111.205,,105.935,,1.51927,115.466,103.756,1.41804,106.202,1.52239,109.436,1.45456,108.26,1.42711,anti,+,anti,C2'-endo,gauche-,C,-,S,115.293,110.17,1.38702,1.392,deoxyribose,77.0337,98.0625,-124.164,,,-80.3193,144.676,162.937,-70.5006,,,-78.7761,173.748,1.89323,21.7429,-36.063,37.9673,-25.0935,91.8316,39.229716798972696,110.0,201.03485048993107,91.8316,1.8315999999999946,70.5006,19.499399999999994
XUQJOJ_66,purine,1.53597,103.908,,128.542,126.059,1.45977,1.43947,108.887,106.216,1.52818,101.484,113.894,,105.375,,1.5197,114.245,103.726,1.41997,110.503,1.50356,108.477,1.43874,109.84,1.42767,syn,+,syn,Other,trans,P,-,A,115.073,107.901,1.37934,1.39915,deoxyribose,149.967,156.279,-137.249,,,-159.296,107.107,79.5571,-171.888,,,-160.893,72.0625,-13.3502,-12.2,31.2223,-39.7464,33.7637,85.8677,40.100010997183986,110.0,37.479110911354915,85.8677,4.132300000000001,171.888,81.888
XUQJUP_67,purine,1.5293,102.641,,126.754,127.164,1.46176,1.41369,110.539,106.352,1.52038,103.244,108.663,,106.057,,1.53686,114.121,106.446,1.42549,111.088,1.51515,113.636,1.44444,109.606,1.41248,syn,+,syn,C2'-endo,gauche+,C,+,S,116.679,107.21,1.38753,1.38206,deoxyribose,86.7984,121.907,-143.935,,,-99.6302,150.688,144.067,44.3986,,,-94.9017,-74.8616,-18.4335,31.1821,-31.2131,21.4007,-1.97308,67.5714,33.14852560606249,120.0,165.03186521635132,67.5714,22.428600000000003,44.3986,45.6014
