,Base,C1'-C2',C1'-C2'-C3',C1'-C2'-O2',C1'-N1-C2/C1'-N9-C4,C1'-N1-C6/C1'-N9-C8,C1'-N1/C1'-N9,C1'-O4',C1'-O4'-C4',C2'-C1'-O4',C2'-C3',C2'-C3'-C4',C2'-C3'-O3',C2'-O2',C2-N1-C6/C4-N9-C8,C3'-C2'-O2',C3'-C4',C3'-C4'-C5',C3'-C4'-O4',C3'-O3',C4'-C3'-O3',C4'-C5',C4'-C5'-O5',C4'-O4',C5'-C4'-O4',C5'-O5',Chi,Chi_sign,Chi_syn,Conformation,Gamma,Gamma_clinical,Gamma_sign,Gamma_syn,N1-C1'-C2'/N9-C1'-C2',N1-C1'-O4'/N9-C1'-O4',N1-C2/N9-C4,N1-C6/N9-C8,Sugar,T1233,T1445,T144_N,T221_N,T2233,T2345,T321_N,T3345,T3455,T4122,T4322,T4433,T4455,TAU_0,TAU_1,TAU_2,TAU_3,TAU_4,TCHI,T_max,Temperature,Theta,absChi,absChiDiff90,absGamma,absGammaDiff90
ZEXWEE_177,purine,1.52252,101.323,109.841,128.531,125.875,1.46049,1.40457,109.59,106.765,1.53116,102.725,111.709,1.41002,105.409,114.556,1.53059,116.433,106.697,1.40978,107.168,1.50698,113.093,1.44674,108.639,1.42551,syn,+,syn,C2'-endo,gauche+,C,+,S,114.082,108.399,1.3781,1.36569,ribose,81.264,125.939,-145.236,-84.0571,-36.9046,-99.5563,154.421,142.626,52.7789,156.226,-151.462,-95.9244,-67.638,-21.9157,34.7041,-33.2939,21.8932,-0.334933,49.5106,36.1680978803575,295.0,161.92456539811664,49.5106,40.4894,52.7789,37.2211
ADYPUR10_1,pyrimidine,1.54723,101.614,109.263,116.29,122.342,1.47208,1.4128,108.819,107.416,1.52267,100.002,115.768,1.43089,120.992,109.24,1.53582,117.676,104.464,1.41448,114.778,1.50506,108.571,1.43423,108.815,1.46068,anti,-,anti,C3'-endo,gauche+,C,+,S,111.526,109.056,1.35722,1.35659,ribose,161.381,154.603,-124.304,-147.944,46.0121,-161.87,96.7043,73.5465,57.5291,92.6135,-77.8848,-165.697,-60.9389,-3.29349,-22.7385,37.4842,-41.1132,28.1157,-157.995,42.003350450408696,295.0,22.788109711898546,157.995,67.995,57.5291,32.4709
ADYPUR10_2,pyrimidine,1.55248,102.148,106.317,114.24,124.21,1.48088,1.42351,108.741,106.719,1.53315,99.8335,114.056,1.43287,121.042,111.799,1.52746,116.003,104.65,1.40858,112.463,1.50507,108.112,1.45894,109.318,1.44381,anti,-,anti,C3'-endo,gauche+,C,+,S,110.77,108.384,1.39014,1.35934,ribose,158.607,152.175,-121.185,-148.822,45.3027,-161.407,93.8676,77.3056,58.5745,93.3956,-74.832,-162.167,-59.4065,-1.84366,-23.915,38.4725,-40.8792,27.2975,-159.072,42.281623715063056,295.0,20.88697012816057,159.072,69.072,58.5745,31.4255
ARBCYT10_4,pyrimidine,1.54946,101.294,113.737,120.396,119.26,1.47141,1.40617,111.285,104.983,1.53188,102.847,107.316,1.42397,120.334,110.824,1.53947,115.321,105.749,1.42262,111.597,1.51693,111.737,1.44822,110.721,1.43798,anti,-,anti,C2'-endo,gauche+,C,+,S,115.037,107.312,1.41087,1.36629,ribose,83.1237,125.271,-145.183,34.2929,-155.87,-99.814,153.229,145.438,51.648,-83.4167,86.3193,-91.8699,-68.3531,-22.3434,35.5198,-34.6868,22.8777,-0.304698,-150.017,37.34078871856757,295.0,162.29432697932037,150.017,60.016999999999996,51.648,38.352
ARCMPH01_6,pyrimidine,1.54023,101.519,113.941,117.252,120.87,1.4857,1.40228,110.337,106.736,1.52327,101.96,109.938,1.41113,121.805,112.031,1.50834,117.784,104.518,1.40442,113.383,1.49687,110.539,1.45241,109.812,1.45012,anti,-,anti,C3'-endo,gauche+,C,+,S,112.409,109.107,1.38351,1.35035,ribose,157.543,147.426,-117.728,-27.0463,-80.5038,-157.858,93.5737,84.0201,53.3007,-146.633,158.94,-153.828,-66.1046,3.97099,-26.0126,36.987,-35.7058,20.1904,-152.328,38.68771745131046,295.0,12.614832968221434,152.328,62.328,53.3007,36.6993
ARFCYT10_7,pyrimidine,1.53953,101.265,111.366,116.218,121.762,1.47497,1.4073,110.159,106.479,1.51742,103.099,108.844,1.40727,121.96,106.295,1.52908,114.616,106.21,1.41496,111.091,1.50609,107.364,1.4443,110.417,1.42097,anti,-,anti,C2'-endo,trans,P,-,A,112.077,108.46,1.37992,1.36772,ribose,83.7444,120.242,-138.708,38.6333,-159.816,-96.9794,151.286,146.586,-171.464,-79.8111,82.1629,-91.2186,68.6559,-17.9136,32.8411,-34.2772,25.2156,-4.58332,-156.046,35.94073079982402,295.0,168.9899509270289,156.046,66.04599999999999,171.464,81.464
BAGXIQ01_9,pyrimidine,1.52636,99.7685,110.034,116.033,122.408,1.49082,1.41543,109.382,107.911,1.53592,101.191,115.621,1.40012,121.556,109.503,1.52125,115.462,102.876,1.41177,112.435,1.49961,112.097,1.43093,111.139,1.42358,anti,-,anti,C3'-endo,gauche+,C,+,S,112.423,108.209,1.38328,1.35207,ribose,161.28,151.609,-123.451,-150.153,45.8283,-163.194,94.7997,72.8483,45.8438,90.5967,-75.93,-165.915,-70.8188,-1.5591,-24.4504,39.522,-41.9569,27.4695,-162.411,43.24534577896412,295.0,20.52025859910662,162.411,72.411,45.8438,44.1562
BEURID10_10,pyrimidine,1.528,100.379,109.973,117.396,122.022,1.49729,1.4136,109.922,106.759,1.52679,102.067,113.093,1.41851,120.526,108.575,1.51513,115.551,104.516,1.41007,113.748,1.5114,111.497,1.45156,111.195,1.41355,anti,-,anti,C3'-endo,gauche+,C,+,S,111.833,108.373,1.37591,1.3699,ribose,162.036,140.594,-110.075,-158.765,46.702,-157.056,86.9587,80.7862,45.936,82.8584,-75.9032,-156.685,-72.969,10.5413,-31.4182,39.431,-34.5272,15.2659,-164.412,40.38195168394597,295.0,3.5896371585210876,164.412,74.412,45.936,44.064
BEURID10_11,pyrimidine,1.53268,100.588,108.526,116.98,122.432,1.48319,1.41242,109.649,107.063,1.52539,101.171,117.189,1.41766,120.529,107.606,1.5224,117.038,103.359,1.41665,114.435,1.49949,112.653,1.45437,109.72,1.42659,anti,-,anti,C3'-endo,gauche+,C,+,S,113.619,108.994,1.3661,1.36886,ribose,165.533,148.397,-119.869,-154.793,52.0529,-160.224,92.4289,72.8126,39.6299,84.823,-73.0804,-166.486,-77.6609,3.42128,-27.9553,40.4,-39.5222,22.8436,-152.958,42.46335191757556,295.0,13.771242101244335,152.958,62.958,39.6299,50.3701
BEZGES_12,pyrimidine,1.53007,100.976,104.169,114.007,122.786,1.50081,1.40224,109.868,106.744,1.51955,101.345,112.42,1.41646,123.071,111.657,1.51263,116.558,103.739,1.4114,114.027,1.49365,112.68,1.46045,109.29,1.41266,anti,-,anti,C3'-endo,gauche+,C,+,S,112.788,109.28,1.35993,1.39256,ribose,162.201,145.246,-116.51,-153.154,52.0011,-157.799,90.9537,81.1808,47.629,86.8209,-70.1407,-158.66,-69.5167,5.74923,-29.0718,40.0591,-37.6393,20.27,-166.079,41.51805942800624,295.0,10.461130269575166,166.079,76.07900000000001,47.629,42.371
